"","inv2","inv3","website"
"62","ACCEL","5139991697031168","http://www.seed-db.com/investorgraph/investorview?investorid=5139991697031168"
"63","ACE &amp; Company","5511407567110144","http://www.seed-db.com/investorgraph/investorview?investorid=5511407567110144"
"64","ACE Fund","4976512503644160","http://www.seed-db.com/investorgraph/investorview?investorid=4976512503644160"
"65","ACE Group","5659678025449472","http://www.seed-db.com/investorgraph/investorview?investorid=5659678025449472"
"66","ACE Group","6454779920252928","http://www.seed-db.com/investorgraph/investorview?investorid=6454779920252928"
"67","ACT Venture Capital","5170104434163712","http://www.seed-db.com/investorgraph/investorview?investorid=5170104434163712"
"68","ACT Venture Capital","6137979676393472","http://www.seed-db.com/investorgraph/investorview?investorid=6137979676393472"
"69","ADObjects, Inc","4812896232013824","http://www.seed-db.com/investorgraph/investorview?investorid=4812896232013824"
"70","ADT Security","5778225418469376","http://www.seed-db.com/investorgraph/investorview?investorid=5778225418469376"
"71","AFSquare","4955193464586240","http://www.seed-db.com/investorgraph/investorview?investorid=4955193464586240"
"72","AIA Konica Minolta Digital Health Accelerator","6023516549808128","http://www.seed-db.com/investorgraph/investorview?investorid=6023516549808128"
"73","AIB Seed Capital Fund","5952347331100672","http://www.seed-db.com/investorgraph/investorview?investorid=5952347331100672"
"74","AITV (Accelerate IT Ventures)","4770891854512128","http://www.seed-db.com/investorgraph/investorview?investorid=4770891854512128"
"75","AJ Vaynerchuk","5889733951488000","http://www.seed-db.com/investorgraph/investorview?investorid=5889733951488000"
"76","AKQA","6503481154207744","http://www.seed-db.com/investorgraph/investorview?investorid=6503481154207744"
"77","ALG International LLC","4772572960915456","http://www.seed-db.com/investorgraph/investorview?investorid=4772572960915456"
"78","ALLVP","5729914112180224","http://www.seed-db.com/investorgraph/investorview?investorid=5729914112180224"
"79","AM Partners","6282592298991616","http://www.seed-db.com/investorgraph/investorview?investorid=6282592298991616"
"80","AMC Networks","5266502253019136","http://www.seed-db.com/investorgraph/investorview?investorid=5266502253019136"
"81","AMD Ventures","5186703811674112","http://www.seed-db.com/investorgraph/investorview?investorid=5186703811674112"
"82","AMD Ventures","6487868276998144","http://www.seed-db.com/investorgraph/investorview?investorid=6487868276998144"
"83","AME Cloud Ventures","6140324728537088","http://www.seed-db.com/investorgraph/investorview?investorid=6140324728537088"
"84","ANII","4773703179042816","http://www.seed-db.com/investorgraph/investorview?investorid=4773703179042816"
"85","AOL Ventures","5038532737368064","http://www.seed-db.com/investorgraph/investorview?investorid=5038532737368064"
"86","APAGM Services","4963860154941440","http://www.seed-db.com/investorgraph/investorview?investorid=4963860154941440"
"87","AQUITI Gestion (ACI, Aqui-Invest, Aquitaine Amorçage)","5104363869569024","http://www.seed-db.com/investorgraph/investorview?investorid=5104363869569024"
"88","ARC Angel Fund","4917259260657664","http://www.seed-db.com/investorgraph/investorview?investorid=4917259260657664"
"89","ARC Angel Fund","5629534317576192","http://www.seed-db.com/investorgraph/investorview?investorid=5629534317576192"
"90","ARTIS Ventures","5765699427368960","http://www.seed-db.com/investorgraph/investorview?investorid=5765699427368960"
"91","AT&amp;T","4570069203943424","http://www.seed-db.com/investorgraph/investorview?investorid=4570069203943424"
