"","x"
"255","Alex Rigopulos"
"256","Alex Welch"
"257","Alex Zubillaga"
"258","Alex van Someren"
"259","Alexander Bruehl"
"260","Alexander Chang"
"261","Alexander Gerko"
"262","Alexander Goldstein"
"263","Alexander Kritikos"
"264","Alexander Levy"
"265","Alexander Saint-Amand"
"266","Alexander Yu"
"267","Alexandre Almajeanu"
"268","Alexandre Azoulay"
"269","Alexandre Mars"
"270","Alexei Chemenda"
"271","Alexia Tsotsis"
"272","Alexis Bonte"
"273","Alexis Ohanian"
"274","Alexis Pantazis"
"275","Alexis Pantazis"
"276","Alexsis de Raadt-St. James"
"277","Alfonso Alvarez"
"278","Alfred Lin"
"279","Alfred Lin"
"280","Alfred Luger"
"281","Alfredo Osorio"
"282","Algy Williams"
"283","Ali Alghanim"
"284","Ali Partovi"
"285","Ali Partovi"
"286","Ali Rowghani"
"287","Alireza Masrour"
"288","Alison Rosenthal"
"289","Alistair Croll"
"290","Alive Ideas"
"291","Allegis Capital"
"292","Allegis Capital"
"293","Allegro Venture Partners"
"294","Allen &amp; Company"
"295","Allen Anes"
"296","Allen Angel Capital Education Program (AACE)"
"297","Allen Angel Capital Education Program (AACE)"
"298","Allen DeBevoise"
"299","Allen Levinson"
"300","Allen Levinson"
"301","Allen Morgan"
"302","Alliance of Angels"
"303","Allianz Digital Corporate Ventures"
"304","Allianz Ventures"
"305","Almaz Capital"
"306","Almi Invest"
"307","Almi Invest"
"308","Alok Mittal"
"309","Aloke Bajpai"
"310","Alpha Investment"
"311","AlphaLab"
"312","Alphamundi"
"313","Alpine Meridian Ventures"
"314","Alrai Capital"
"315","Alsop Louie Partners"
"316","Alta Ventures Mexico"
"317","AltaIR Capital"
"318","Altair"
"319","Altair Capital"
"320","Altair Ventures"
"321","Altimeter Capital"
"322","Altos Ventures"
"323","Altpoint Ventures"
"324","Altron"
"325","Alva House Capital"
"326","Alven Capital"
"327","Alven Capital"
"328","AmWINS Group"
"329","Amadeo Brenninkmeijer"
"330","Amadeus Capital Partners"
"331","Amadeus IT Group"
"332","Aman Thapar"
"333","Amasia"
"334","Amasia Associates"
"335","Amazon"
"336","Amazon Alexa Fund"
"337","Ambient Sound Investments"
"338","Amee Chaudry"
"339","Amer Rehman"
"340","American Express"
"341","American Express Ventures"
"342","American Express Ventures"
"343","American Family Insurance"
"344","American Family Ventures"
"345","American Pioneer Ventures, Ltd"
"346","Amicus Capital"
"347","Amidi Group"
"348","Amidzad Partners"
"349","Amidzad Partners"
"350","Amino Capital"
"351","Amir Banifatemi"
"352","Amit Avner"
"353","Amit Gupta"
"354","Amit Ranjan"
"355","Amitav Misra"
"356","Amitt Mahajan"
"357","Ammar Kubba"
"358","Ammar Kubba"
"359","Amol Sarva"
"360","Amos Elliston"
"361","Amplify Partners"
"362","Amplify.LA"
"363","Amr Awadallah"
"364","Amrith Jamoona"
"365","Amure Pinho"
"366","Ana López"
"367","Ana López"
"368","Ana Vilas"
"369","Ana and Nuria Martinez"
"370","Anand Agarawala"
"371","Anand Subramani"
"372","Anand Swaminathan"
"373","Anand Swaminathan"
"374","Anders Frankel"
"375","Andre Alpar"
"376","Andre Charland"
"377","Andre Eikmeier"
"378","Andre Ranadive"
"379","Andrea Zurek"
"380","Andrea Zurek"
"381","Andreas Bechtolsheim"
"382","Andreas Ehn"
"383","Andreas Resch"
"384","Andreessen Horowitz"
"385","Andres Babes Estade"
"386","Andres Pinter"
"387","Andrew &#34;Drew&#34; C. Murphy"
"388","Andrew Berman MD"
"389","Andrew Blachman"
"390","Andrew Bosworth"
"391","Andrew Boszhardt, Jr."
"392","Andrew Boszhardt, Jr."
"393","Andrew C. Murphy"
"394","Andrew Chen"
"395","Andrew Chen"
"396","Andrew Chen"
"397","Andrew Chen"
"398","Andrew Chen"
"399","Andrew Chen"
"400","Andrew Chen"
"401","Andrew Conrad"
"402","Andrew Couch"
"403","Andrew Ferenci"
"404","Andrew Gault"
"405","Andrew Hessel"
"406","Andrew Hunt"
"407","Andrew Jennings"
"408","Andrew Lacy"
"409","Andrew Levy"
"410","Andrew McCollum"
"411","Andrew McCollum"
"412","Andrew McCormack"
"413","Andrew Mitchell"
"414","Andrew Moroz"
"415","Andrew Mullinger"
"416","Andrew Mullinger"
"417","Andrew Paradise"
"418","Andrew Razeghi"
"419","Andrew Razeghi"
"420","Andrew Reis"
"421","Andrew Reis"
"422","Andrew Roosevelt"
"423","Andrew S. Lerner"
"424","Andrew Tisch"
"425","Andrew Valiente"
"426","Andrew Valiente"
"427","Andrew Weisz"
"428","Andrew Weisz"
"429","Andrew Wright"
"430","Andrew Wyatt"
"431","Andrey Shirben"
"432","André Kingham"
"433","Andurance Ventures LLP"
"434","Andy Atherton"
"435","Andy Atherton"
"436","Andy Barkett"
"437","Andy Dunn"
"438","Andy Hill"
"439","Andy Keller"
"440","Andy McLoughlin"
"441","Andy Miller"
"442","Andy Palmer"
"443","Andy Phillips"
"444","Andy Rachleff"
"445","Andy Rankin"
"446","Andy Rebele"
"447","Andy Sack"
"448","Andy Stevens"
"449","Aneel Ranadive"
"450","Angel CoFund"
"451","Angel Investor"
"452","Angel Investor"
"453","Angel Investors"
"454","Angel Investors"
"455","Angel Street Capital"
"456","AngelCube"
"457","AngelHub Ventures"
"458","AngelLab"
"459","AngelList"
"460","AngelPad"
"461","AngelVest"
"462","Angela Bao"
"463","Angellist-Alchemist-Fund"
"464","Angels Den"
"465","Angels in the City"
"466","Angels on the Water"
"467","Anges Quebec"
"468","Anglia Capital Group"
"469","Angus Davis"
"470","Anibal Ituarte"
"471","Aniket Khera"
"472","Aniket Khera"
"473","Anil Jain"
"474","Anil Jha"
"475","Anirudh Damani"
"476","Anish Monga"
"477","Anjula Acharia Bath"
"478","Ankur Pansari"
"479","Ankur Pansari"
"480","Ann Arbor SPARK"
"481","Anne Herarty"
"482","Anne Johnson"
"483","Anne Nimke"
"484","Anne Wojcicki"
"485","Anonymous Investor"
"486","Ansbacher Bahamas"
"487","Anshu Sharma"
"488","Antecedent Ventures"
"489","Anthem Venture Partners"
"490","Anthemis Group"
"491","Anthony Faillace"
"492","Anthony Marcar"
"493","Anthony Saleh"
"494","Anthos Capital"
"495","Anthos Capital"
"496","Antoine Hatoun"
"497","Antonio García-Urgelés"
"498","Anuj Golecha"
"499","Anupam Mittal"
"500","Anurag (Anu) Nigam"
"501","Anurag Nigam"
"502","Aol Ventures"
"503","Apoorv Ranjan Sharma"
"504","AppleTree Capital"
"505","Apricot Capital"
"506","Apsara Capital"
"507","AquaSpark"
"508","Arab Angel Fund"
"509","Arash Afrakhteh"
"510","Arbor Ventures"
"511","Arcady Bay Partners"
"512","Arch Grants"
"513","Archangel"
"514","Archer Gray"
"515","Archetype"
"516","Archetype"
"517","Archimedes Labs"
"518","Archivist Capital"
"519","Ardent Capital"
"520","Arena Ventures"
"521","Ari Emmanuel"
"522","Arian Radmand"
"523","Arianna Simpson"
"524","Arie Abecassis"
"525","Arie Abecassis"
"526","Ariel Poler"
"527","Ariel Poler"
"528","Arielle Zuckerberg"
"529","Arihant Patni"
"530","Arion Banki"
"531","Aristos Ventures"
"532","Arizona Bay Technology Ventures"
"533","Arjun Sethi"
"534","Ark Challenge"
"535","Arkansas Venture Capital Investment Trust"
"536","Armando Biondi"
"537","Armando Biondi"
"538","Armando Biondi"
"539","Armando Biondi"
"540","Armando Pauker"
"541","Armando Sgroi"
"542","Armory Square Ventures"
"543","Arnaud Becquart"
"544","Arnold Capital"
"545","Arram Sabeti"
"546","Arsenal Capital Management"
"547","Arsenal Capital Partners"
"548","Arsenal Venture Partners"
"549","Art Reidel"
"550","Arteel Ventures"
"551","Artha India Ventures"
"552","Arthur Kosten"
"553","Arthur Ventures"
"554","Artiman Ventures"
"555","Arts Alliance Ventures"
"556","Arturo Guillén"
"557","Arturo Guillén"
"558","Arturo Guillén"
"559","Arvi Tavast"
"560","Ary Chame"
"561","Aryeh Bourkoff"
"562","Asad Zafar"
"563","Ascension Ventures Limited"
"564","Ascent Venture Partners"
"565","Ash Fontana"
"566","Ash Patel"
"567","Ash Rust"
"568","Asha Jadeja"
"569","Ashish H. Mistry"
"570","Ashish Kashyap"
"571","Ashish Soni"
"572","Ashmeet Sidana"
"573","Ashmeet Sidana"
"574","Ashton Kutcher"
"575","Asimov Ventures"
"576","Aslanoba Capital"
"577","Aspiration Growth"
"578","Asset Management Ventures (AMV)"
"579","Associated Press"
"580","Astia Angels"
"581","Aston Motes"
"582","Astral Capital"
"583","Astrec Baltic"
"584","Athena Technology Investors"
"585","Atiq Raza"
"586","Atlanta Technology Angels"
"587","Atlante Seeds"
"588","Atlantic Bridge"
"589","Atlantic Labs"
"590","Atlas Accelerator"
"591","Atlas Accelerator"
"592","Atlas Venture"
"593","Atom Factory"
"594","Atomico"
"595","Atsany Capital"
"596","Audrey Capital"
"597","Audrey Mark"
"598","Audry Larocque"
"599","August Capital"
"600","August Capital"
"601","August Capital Partners"
"602","Auren Hoffman"
"603","Aurum Partners LLC"
"604","Austin Gannon"
"605","Austin Impact Capital"
"606","Austin Ventures"
"607","Australian entrepreneur"
"608","Auto Nebula Capital Advisers Private Limited"
"609","AutoScout24"
"610","Automation Ventures"
"611","Automattic"
"612","Automattic"
"613","Autonomia Oy"
"614","Avalon Ventures"
"615","Avichal Garg"
"616","Avinash Karnani"
"617","Aviv Paz"
"618","Avonmore Developments"
"619","Avonmore Developments"
"620","Awesome Inc"
"621","AxVentures-Pymar Fund"
"622","Axcel Partners"
"623","Axel Springer"
"624","Axel Springer"
"625","Axel Springer Plug and Play Accelerator"
"626","Axon Partners Group"
"627","Ayaz ul Haque"
"628","Aydin Senkut"
"629","Azhar Khan"
"630","Azimuth Ventures"
"631","Azure Capital Partners"
"632","B-Tree Ventures"
"633","BAM Ventures"
"634","BBG Ventures"
"635","BBVA Ventures"
"636","BDC"
"637","BDC Capital"
"638","BDC Capital Corporation"
"639","BDC Venture Capital"
"640","BDMI"
"641","BDS Venture Fund"
"642","BEENEXT"
"643","BHS Services S.A."
"644","BIC Angel Investments"
"645","BIP Group"
"646","BLH Venture Partners"
"647","BMW i Ventures"
"648","BMW i Ventures"
"649","BOE Technology Group"
"650","BOLDstart Ventures"
"651","BOM Capital"
"652","BR Ventures"
"653","BR Ventures"
"654","BStartup"
"655","BStartup"
"656","BTCS"
"657","BTCS"
"658","BTG Pactual"
"659","BWB Ventures"
"660","BYU Cougar Capital"
"661","Babak Nivi"
"662","Babak Rasolzadeh"
"663","Backed VC"
"664","Backstage Capital"
"665","Badia Impact Fund"
"666","Badr Al-Rumaih"
"667","Baillie Gifford"
"668","Bain Capital Ventures"
"669","Baird Capital"
"670","Bakalov Investment Group"
"671","Balderton Capital"
"672","Ballpark Ventures"
"673","Baltimore Angels"
"674","Baltimore Boost Fund"
"675","Balz Roth"
"676","Banco Itau"
"677","Banco Sabadell"
"678","Band of Angels"
"679","Bank Of Tokyo - Mitsubishi UFJ"
"680","Bank of America"
"681","Bank of Ireland Seed and Early Stage Equity fund"
"682","BankToTheFuture"
"683","Bankinter"
"684","Banneker Partners"
"685","Bantam Funds"
"686","Bantam Group"
"687","Banyan Capital"
"688","Barbara Corcoran"
"689","Barbara Corcoran"
"690","Barbara Corcoran Venture Partners"
"691","Barclays Accelerator"
"692","Barclays Investment Bank"
"693","Baris Yuksel"
"694","Baris Yuksel"
"695","Barney Pell"
"696","Baroda Ventures"
"697","Baron Davis"
"698","Barrie Heptonstall"
"699","Barry Bhangoo"
"700","Barry Fay"
"701","Barry Honig"
"702","Barry Pitcher"
"703","Barry Silbert"
"704","Barry Silbert"
"705","Barry Wacksman"
"706","Bart Lorang"
"707","Bart McDonough"
"708","Bas Godska"
"709","Base Ventures"
"710","BaseVC"
"711","Baseline Ventures"
"712","Basset Investment Group"
"713","Batara Eto"
"714","Battery Ventures"
"715","Baxter Ventures"
"716","Bay Partners"
"717","Bbooster Ventures"
"718","Be Great Partners"
"719","Beamonte Investments"
"720","Bedy Yang"
"721","Bee Partners"
