"","x"
"1072","Bullet Time Ventures"
"1073","Bullet Time Ventures II"
"1074","Bullish"
"1075","Bullpen Capital"
"1076","Bullpen Ventures"
"1077","Bunmi Akinyemiju"
"1078","Bupa"
"1079","Buran Venture Capital"
"1080","Burch Creative Capital"
"1081","Burlington Capital"
"1082","Business Angel Pool"
"1083","Business Development Bank of Canada"
"1084","Business in Development Challenge"
"1085","C15 Ventures"
"1086","C4 Ventures"
"1087","CAA Ventures"
"1088","CAP Ventures"
"1089","CBRE Group"
"1090","CDK Global"
"1091","CDTI"
"1092","CE Tech Invest"
"1093","CENTRALWAY"
"1094","CIT GAP Funds"
"1095","CIVETA INVESTMENTS"
"1096","CJ Koomen"
"1097","CKM Capital Partners"
"1098","CLI Ventures"
"1099","CME Ventures"
"1100","CMFG VENTURES"
"1101","CMU OFEF"
"1102","CMU OFEF"
"1103","CRCM Venture Capital"
"1104","CRE Venture Capital"
"1105","CRV"
"1106","CRVVC"
"1107","CSA Partners LLC"
"1108","Cabana Ventures"
"1109","Cabiedes &amp; Partners"
"1110","Cabiedes &amp; Partners"
"1111","Cabin Creek Partners"
"1112","Caelen King"
"1113","Caerus Investment Partners"
"1114","Caerus Investment Partners"
"1115","Caffeinated Capital"
"1116","Cairo Angels"
"1117","Caixa Capital"
"1118","Caixa Capital Risc"
"1119","California HealthCare Foundation"
"1120","California HealthCare Foundation"
"1121","Calvin Soh"
"1122","Cam Neely"
"1123","Camber Creek"
"1124","Cambia Health Solutions"
"1125","Cambia Health Solutions"
"1126","Cambridge Angels group"
"1127","Cambridge Capital Group"
"1128","Cambridge Information Group"
"1129","Cambridge Innovation Capital"
"1130","Camden Partners"
"1131","Cameron McLain"
"1132","Cameron T. Ring"
"1133","Cameron Walters"
"1134","Camilla Marcus Siegel"
"1135","Camp One Ventures"
"1136","CampVentures"
"1137","Can Serter"
"1138","Canaan Partners"
"1139","Canary Ventures"
"1140","Canguro Inversiones"
"1141","Cankut Durgun"
"1142","Canrock Ventures"
"1143","Cantos Ventures"
"1144","Canvas Venture Fund"
"1145","Canvas Ventures"
"1146","Canyon Creek Capital"
"1147","Capital Factory"
"1148","Capital Innovators"
"1149","Capital M Group"
"1150","Capital Spreads"
"1151","Capital TEN II"
"1152","Capital for Enterprise"
"1153","Capricorn Investment Group"
"1154","Capricorn Management"
"1155","Capricorn Venture Partners"
"1156","Capstone Partners Korea"
"1157","Capstone Partners Korea"
"1158","Carao Ventures"
"1159","Cardinal Partners"
"1160","Carina Szpilka"
"1161","Carine Magescas"
"1162","Carine Magescas"
"1163","Carl Bass"
"1164","Carl Byers"
"1165","Carl Byers"
"1166","Carl Cox"
"1167","Carla Geisser"
"1168","Carla Geisser"
"1169","Carlos Blanco"
"1170","Carlos Bueno"
"1171","Carlos Gonzalez de Villaumbrosia"
"1172","Carlos González de Villaumbrosia"
"1173","Carman Chan"
"1174","Carmen Busquets"
"1175","Carmen Chang"
"1176","Carnegie Mellon University"
"1177","Carol Barash"
"1178","Carol Barash"
"1179","Carol Matthews"
"1180","Carol Matthews"
"1181","Carolin Kebekus"
"1182","Carolyn Green"
"1183","Carpediem Capital"
"1184","Carrot"
"1185","Carsales"
"1186","Carter Rabasa"
"1187","Carthona Capital"
"1188","Cascade Angels Fund"
"1189","Cascade Investment"
"1190","Cat Empire Angel Group"
"1191","Caterina Fake"
"1192","Caterina Fake"
"1193","Caufield Angel Fund"
"1194","Caufield Angel Fund"
"1195","Causeway Media Partners"
"1196","Causeway Media Partners"
"1197","Cedars Sinai Medical Center"
"1198","Cedric Kutlu"
"1199","Cedric Kutlu"
"1200","Cedric Littardi"
"1201","Centennial Investors"
"1202","Center Electric"
"1203","Center for Financial Services Innovation (CFSI)"
"1204","CentroCredit Bank"
"1205","Centuria Ventures"
"1206","Cerner Capital at Cerner Corporation"
"1207","Cervin Ventures"
"1208","Cesar Lee"
"1209","Ceyuan Ventures"
"1210","Chaac Ventures"
"1211","Chad Byers"
"1212","Chad Hurley"
"1213","Chad Hurley"
"1214","Chad Troutwine"
"1215","Chaifetz Group, LLC"
"1216","Chairul Irawan"
"1217","Chak Ming Li"
"1218","Chalmers Innovation"
"1219","Chamath Palihapitiya"
"1220","Chan Zuckerberg Initiative"
"1221","Chandra Duggirala"
"1222","Chandra Tjan"
"1223","Chang Ng"
"1224","Charge Ventures"
"1225","Charles Cheever"
"1226","Charles Goldstuck"
"1227","Charles Hudson"
"1228","Charles Moldow"
"1229","Charles Oppenheimer"
"1230","Charles Powell"
"1231","Charles River Ventures"
"1232","Charles Smith"
"1233","Charles Stack"
"1234","Charles Thornburgh"
"1235","Charles Yong"
"1236","Charlie Cheever"
"1237","Charlie Cheever"
"1238","Charlie Key"
"1239","Charlie Pinto"
"1240","Charlie Songhurst"
"1241","Charlotte Street Capital"
"1242","Charter Life Sciences"
"1243","Chase Franklin"
"1244","Chase Franklin"
"1245","Chase Fraser"
"1246","Chasella"
"1247","Chattanooga Renaissance Fund"
"1248","Cheerland Investments"
"1249","Chengwei Capital"
"1250","Chennai Angels"
"1251","Cherry Tree Investments"
"1252","Cherry Ventures"
"1253","Cherry Ventures"
"1254","Cherrystone Angel Group"
"1255","Cherub Fund"
"1256","Cherubic Ventures"
"1257","Chester Roh"
"1258","Chicago Angel Investors"
"1259","Chicago Ventures"
"1260","Chilango Ventures"
"1261","ChileGlobal Angels"
"1262","China Broadband Capital"
"1263","China Canada Angel Alliance"
"1264","China Growth Capital"
"1265","China Rock Capital"
"1266","Chinaccelerator"
"1267","Chione"
"1268","Chipper Boulas"
"1269","Chloe Sladden"
"1270","Chloe Sladden"
"1271","Chris Adelsbach"
"1272","Chris Adelsbach"
"1273","Chris Adelsbach"
"1274","Chris Adelsbach"
"1275","Chris Adelsbach"
"1276","Chris Adelsbach"
"1277","Chris Anderson"
"1278","Chris Bucchere"
"1279","Chris Cunningham"
"1280","Chris DeVore"
"1281","Chris DeVore"
"1282","Chris Dixon"
"1283","Chris Fanini"
"1284","Chris Fischer"
"1285","Chris Gabrieli"
"1286","Chris Hameetman"
"1287","Chris Harris"
"1288","Chris Herndon"
"1289","Chris Hitchen"
"1290","Chris Hollindale"
"1291","Chris Logan"
"1292","Chris Logan"
"1293","Chris Look"
"1294","Chris Lynch"
"1295","Chris Maeda"
"1296","Chris McCann"
"1297","Chris Messina"
"1298","Chris Nokleburg"
"1299","Chris Ovitz"
"1300","Chris Piro"
"1301","Chris Powers"
"1302","Chris Pronger"
"1303","Chris Pronger"
"1304","Chris Sacca"
"1305","Chris Sacca"
"1306","Chris Saridakis"
"1307","Chris Sheehan"
"1308","Chris Sim"
"1309","Chris Sims"
"1310","Chris Sinton"
"1311","Chris Sinton"
"1312","Chris Underhill"
"1313","Chris Underhill"
"1314","Chris Wang"
"1315","Chris Wiggins"
"1316","Chris Williams"
"1317","Chris Yeh"
"1318","Christen O&#39;Brien"
"1319","Christian Dahlen"
"1320","Christian Dahlen"
"1321","Christian Gaiser"
"1322","Christian Hernandez Gallardo"
"1323","Christian Kaar"
"1324","Christian Meyers"
"1325","Christian Noske"
"1326","Christian Reber"
"1327","Christian Thaler-Wolski"
"1328","Christina Brodbeck"
"1329","Christina Cacioppo"
"1330","Christina Ventures"
"1331","Christine Day"
"1332","Christine Mingins"
"1333","Christine Tsai"
"1334","Christofer Solheim"
"1335","Christoph Janz"
"1336","Christopher Bissonnette"
"1337","Christopher Grey"
"1338","Christopher Guest"
"1339","Christopher Isak"
"1340","Christopher J. Rouland"
"1341","Christopher Lien"
"1342","Christopher Lynch"
"1343","Christopher Muenchhoff"
"1344","Chrysanthos Chrysanthou"
"1345","Chrysanthos Chrystanthou"
"1346","Chuck Gordon"
"1347","Chuck Porter"
"1348","Chuck Templeton"
"1349","Chuck Vallurupalli"
"1350","Chung-Man Tam"
"1351","Cigna"
"1352","CincyTech"
"1353","Circle P Capital"
"1354","Circle Ventures"
"1355","Circuit Health"
"1356","Cisco"
"1357","Cisco"
"1358","Citi Ventures"
"1359","Citigroup"
"1360","Citizen.VC"
"1361","Cito Ventures"
"1362","Citrix Startup Accelerator"
"1363","Civilization Ventures"
"1364","Clara Shih"
"1365","Claremont Creek Ventures"
"1366","Clarion Direct Investment"
"1367","ClarityRay"
"1368","Clark Landry"
"1369","Clark Valberg"
"1370","Claus Moseholm"
"1371","Clayton Associates"
"1372","Clayton Associates"
"1373","Claytonia Capital"
"1374","Clean Energy Venture Group"
"1375","Clearly Social Angels"
"1376","Clem Bason"
"1377","Clement Cazalot"
"1378","Cleve Johnson"
"1379","Click Ventures"
"1380","Click Ventures"
"1381","Cliff Hinrichs"
"1382","Cliff Hinrichs"
"1383","Cliff Sirlin"
"1384","Clifford Chiu"
"1385","Clifford Holekamp"
"1386","Clifford Holekamp"
"1387","Clint Chao"
"1388","Clint Watson"
"1389","Cloud Fund Partners"
"1390","Cloud Fund Partners"
"1391","Cloud Power Capital"
"1392","Clover Venture"
"1393","Club Italia Investimenti"
"1394","CoVenture"
"1395","Coalition"
"1396","Cocoon Ignite Ventures"
"1397","Code for America Accelerator"
"1398","Coent Venture Partners"
"1399","Cofounders Capital"
"1400","Cognosante"
"1401","Coinsilium Group"
"1402","Colette Ballou"
"1403","Colin Angle"
"1404","Colin Carrier"
"1405","Colin Evans"
"1406","Colin Morgan"
"1407","Collaborative Fund"
"1408","Collaborative Seed &amp; Growth Partners"
"1409","Collaborative Seed &amp; Growth Partners"
"1410","Columbia University Lang Fund"
"1411","Columbus Nova Technology Partners"
"1412","Comcast Ventures"
"1413","Comerica Bank"
"1414","Comet Labs"
"1415","Commerce Ventures"
"1416","Commercialisation Australia"
"1417","Committed Capital"
"1418","CommonAngels Ventures"
"1419","Communitech HYPERDRIVE"
"1420","Communitech HYPERDRIVE"
"1421","Comporium"
"1422","Confluence Capital"
"1423","Connect Ventures"
"1424","Connecticut Innovations"
"1425","Connell McGill Jr."
"1426","Connetic Ventures"
"1427","ConocoPhillips"
"1428","Conor Daly"
"1429","Conor Stanley"
"1430","Conrad Kozak"
"1431","Conrado López"
"1432","Consigliere Brand Capital, LLC"
"1433","Constantia New Business"
"1434","Continental Advisors"
"1435","Continuity Fund"
"1436","Continuity Fund"
"1437","Contour Venture Partners"
"1438","Converge Venture Partners"
"1439","Convergence Ventures"
"1440","Conversion Capital"
"1441","Cooley Godward Kronish LLP"
"1442","Cooley LLP"
"1443","Coolhouse Labs"
"1444","Coolidge Corner Investment"
"1445","Coolidge Corner Investment"
"1446","Coral Reef IO"
"1447","Corazon Capital"
"1448","Core Innovation Capital"
"1449","Core Innovation Capital"
"1450","Core Network Dynamics"
"1451","CoreNetwork Fund"
"1452","Corey Ferengul"
"1453","Corigin Ventures"
"1454","Cornell University"
"1455","Cornerstone Angels"
"1456","Cornerstone Innovation Fund"
"1457","Cornerstone On-Demand"
"1458","Cornerstone OnDemand"
"1459","Correlation Ventures"
"1460","Corsa Ventures"
"1461","Cortado"
"1462","Cory Ondrejka"
"1463","Costanoa Venture Capital"
"1464","Costarter"
"1465","Cota Capital"
"1466","Cotter Cunningham"
"1467","Council &amp; Enhanced Tennessee Fund"
"1468","Courtside Ventures"
"1469","Cowboy Ventures"
"1470","Cowboy Ventures"
"1471","Cox Enterprises"
"1472","Coyote Ridge Ventures"
"1473","Craig Albrecht"
"1474","Craig Froude"
"1475","Craig Froude"
"1476","Craig Lauer"
"1477","Craig Shapiro"
"1478","Craig Shapiro"
"1479","Craig Sherman"
"1480","Craig Ulliott"
"1481","Craig Wortmann"
"1482","Creandum"
"1483","Creative England"
"1484","Credo Ventures"
"1485","Criatec Fund"
"1486","Cristóbal Conde"
"1487","Croghan Investments"
"1488","Cross Culture Ventures"
"1489","Crosscut Ventures"
"1490","Crosslink Capital"
"1491","Crowdcube"
"1492","Crown Predator Holdings"
"1493","CrunchFund"
"1494","Crypto Currency Partners"
"1495","Crystal Stream Capital"
"1496","Crystal Tech Fund"
"1497","Csaba Konkoly"
"1498","Cthulhu Ventures"
"1499","Cue Ball"
"1500","Cue Ball, LLC"
"1501","Cultivation Capital"
"1502","Cuneyd Zapsu"
"1503","Cuong Do"
"1504","Curios Endeavors"
"1505","Curtis &amp; Porter LLC"
"1506","CyLon (Cyber London)"
"1507","Cyan Banister"
"1508","CyberAgent Ventures"
"1509","Cyberport Hong Kong"
"1510","Cyberport Hong Kong"
"1511","Cygnus Capital"
"1512","Cyril Moutran"
"1513","Czar Investments Ltd."
"1514","César Bardají"
"1515","César Bardají"
"1516","César Salazar"
"1517","Côme Laguë"
"1518","D-Ax Corporate Venture Capital"
"1519","DASH Ventures"
"1520","DC Thomson Ventures"
"1521","DCM"
"1522","DCM Ventures"
"1523","DCM Ventures"
"1524","DCU Ryan Academy for Entrepreneurship"
"1525","DDBK PARTNERS"
"1526","DDBK PARTNERS"
"1527","DFJ Athena"
"1528","DFJ DragonFund"
"1529","DFJ Esprit"
"1530","DFJ Frontier"
"1531","DFJ Gotham Ventures"
"1532","DFJ Growth"
"1533","DFJ Mercury"
"1534","DG Incubation"
"1535","DHG Communications Network BV"
"1536","DMGI"
"1537","DMGT"
"1538","DN Capital"
"1539","DN Capital"
"1540","DOEN Foundation"
"1541","DRW Venture Capital"
"1542","DRÆM VENTURES"
"1543","DS Strategic Partners"
"1544","DST Global"
"1545","DV Playground"
"1546","Dag Kittlaus"
"1547","Daher Capital"
"1548","Dakin Sloss"
"1549","Dalibor Siroky"
"1550","Dallas Kashuba"
"1551","Dalton Caldwell"
"1552","Damien Tanner"
"1553","Damon Ball"
"1554","Damon Way"
"1555","Dan Bilzerian"
"1556","Dan Bragiel"
"1557","Dan Cunningham"
"1558","Dan Debow"
"1559","Dan Gilbert"
"1560","Dan Gilbert"
"1561","Dan Gilmartin"
"1562","Dan Graham"
"1563","Dan Knox"
"1564","Dan Knox"
"1565","Dan Martell"
"1566","Dan Martin"
"1567","Dan Murray"
"1568","Dan Porter"
"1569","Dan Rose"
"1570","Dan Rubinstein"
"1571","Dan Rubinstein"
"1572","Dan Saul"
"1573","Dan Scudder"
"1574","Dan Shapiro"
"1575","Dan Yue"
"1576","Dana Baki"
"1577","Dana Marotto"
"1578","DaneVest Tech Fund Advisors"
"1579","Danhua Capital"
"1580","Daniel Curran"
"1581","Daniel Debow"
"1582","Daniel Debow"
"1583","Daniel Eskapa"
"1584","Daniel Gimenez"
"1585","Daniel Gross"
"1586","Daniel James"
"1587","Daniel Kaesmacher"
"1588","Daniel Koetting"
"1589","Daniel Martin"
"1590","Daniel Martin"
"1591","Daniel Murray"
"1592","Daniel Pomp"
"1593","Daniel S. Aegerter"
"1594","Daniel Saul"
"1595","Daniel Scrivner"
"1596","Daniel Spindelndreier"
"1597","Daniel Tomov"
"1598","Daniel Wallace"
"1599","Daniel Wallace"
"1600","Daniel Waterhouse"
"1601","Daniel Zadok"
"1602","Danmar Capital"
"1603","Danny Hadar"
"1604","Darcy Wedd"
"1605","Daren Cotter"
"1606","Darian Shirazi"
"1607","Dario Meli"
"1608","Dario Meli"
"1609","Darius Cheung"
"1610","Darrell Silver"
"1611","Darren Crystal"
"1612","Darren Patterson"
"1613","Darren Shapland"
"1614","Darrin Disley"
"1615","Dartmouth-Hitchcock Medical Center"
"1616","Data Collective"
"1617","Data Point Capital"
"1618","Dave Balter"
"1619","Dave Brown"
"1620","Dave Carlson"
"1621","Dave Hodson"
"1622","Dave Hoover"
"1623","Dave Johnson"
"1624","Dave Kashen"
"1625","Dave Lerner"
"1626","Dave McClure"
"1627","Dave McClure"
"1628","Dave Morgan"
"1629","Dave Morin"
"1630","Dave Morin"
"1631","Dave Moskovitz"
"1632","Dave Panos"
"1633","Dave Panos"
"1634","Dave Peacock"
"1635","Dave Pell"
"1636","Dave Pell"
"1637","Dave Schappell"
"1638","Dave Schappell"
"1639","David Anderson"
"1640","David Arcara"
"1641","David Arnold"
"1642","David Asprey"
"1643","David Assia"
"1644","David Bettner"
"1645","David Beyer"
"1646","David Blado"
"1647","David Bonderman"
"1648","David Breger"
"1649","David Brown"
"1650","David Calone"
"1651","David Cancel"
"1652","David Cao"
"1653","David Carter"
"1654","David Chang"
"1655","David Coallier"
"1656","David Cohen"
"1657","David Cummings"
"1658","David Cummings"
"1659","David Dolby"
"1660","David E. Weekly"
"1661","David Fischer"
"1662","David Friend"
"1663","David Gilboa"
"1664","David Greene"
"1665","David Gurle"
"1666","David Gutelius"
"1667","David Hauser"
"1668","David Hehman"
"1669","David Herrmann"
"1670","David Humphrey"
"1671","David J. La Placa"
"1672","David Jeske"
"1673","David Jones"
"1674","David Jones"
"1675","David Karandish"
"1676","David Karp"
"1677","David Kaufmann"
"1678","David Kaufmann"
"1679","David Khalil Philipp Maier"
"1680","David King"
"1681","David King"
"1682","David Larrabee"
"1683","David Lee"
"1684","David Lerner"
"1685","David Levy"
"1686","David Li"
"1687","David Litvak"
"1688","David Liu"
"1689","David Marcus"
"1690","David Marcus"
"1691","David McInnis"
"1692","David McInnis"
"1693","David Mes"
"1694","David Michaels"
"1695","David Opolon"
"1696","David Ossip"
"1697","David Ossip"
"1698","David Petersen"
"1699","David Peterson"
"1700","David Pritchard"
"1701","David Pritchard"
"1702","David Rose"
"1703","David Rusenko"
"1704","David S. Kidder"
"1705","David S. Rose"
"1706","David Sacks"
"1707","David Samuel"
"1708","David Shen Ventures"
"1709","David Shen Ventures"
"1710","David Sloo"
"1711","David Soskin"
"1712","David Spector"
"1713","David Stern"
"1714","David Stewart"
"1715","David Tisch"
"1716","David Tomás"
"1717","David Vergara"
"1718","David Villeger"
"1719","David Vivero"
"1720","David Wallerstein"
"1721","David Wallerstein"
"1722","David Williams"
"1723","David Windley"
"1724","David Wu"
"1725","Davy Kestens"
"1726","DeNA"
"1727","DeSimone Group Investments"
"1728","DeSimone Group Investments"
"1729","Dean Gilbert"
"1730","Dean Gilbert"
"1731","Deap Ubhi"
"1732","Debayan Banerjee"
"1733","Deborah Benton"
"1734","Deborah Quazzo"
"1735","Deciens Capital"
"1736","Deep Fork Capital"
"1737","Deep Nishar"
"1738","Deep Space Ventures"
"1739","Deerfield"
"1740","Deloranch Holding"
"1741","Delta Partners"
"1742","Delta Partners Capital Limited"
"1743","Demarest"
"1744","Demarest Media"
"1745","Deming Center Venture Fund"
"1746","Deming Center for Entrepreneurship"
"1747","Demis Hassabis"
"1748","Denis Fayolle"
"1749","Denis Grosz"
"1750","Denis Hennequin"
"1751","Dennis Bennie"
"1752","Dennis Crowley"
"1753","Dennis Dayman"
"1754","Dennis Phelps"
"1755","Dennis Pilarinos"
"1756","Dennis Roberson"
"1757","Dennis Round"
"1758","Dennis V. Valenti"
"1759","Denny Hill Capital"
"1760","Dentsu Ventures"
"1761","Derek Smith"
"1762","Derek Smith"
"1763","Derrik Deyhimi"
"1764","Des Traynor"
"1765","Designer Fund"
"1766","Detonate Ventures"
"1767","Detroit Innovate"
"1768","Detroit Venture Partners"
"1769","Deutsche Bank"
"1770","Deutsche Telekom Capital Partners"
"1771","Deutsche Telekom Strategic Investments"
"1772","Devdutt Yellurkar"
"1773","Devin Johnson"
"1774","Devon Galloway"
"1775","Devon Galloway"
"1776","Devon George"
"1777","Devonshire Investors"
"1778","Dharmesh Shah"
"1779","Dheeraj Jain"
"1780","Dheeraj Sanka"
"1781","Di-Ann Eisnor"
"1782","Diane Loviglio"
"1783","Diane Loviglio"
"1784","Diego Basch"
"1785","Diego Berdakin"
"1786","Diego J Ruiz-Rincon"
"1787","Diego Kuperman"
"1788","Diego Meller"
"1789","Differential"
"1790","Digital Currency Group"
"1791","Digital Entertainment Ventures (DEV)"
"1792","Digital First Ventures"
"1793","Digital Future"
"1794","Digital Garage"
"1795","Digital Garage"
"1796","Digital Irish New York Syndicate"
"1797","Digital Leaders Ventures"
"1798","Digital Leaders Ventures"
"1799","Digital News Ventures"
"1800","Digital Science"
"1801","Digital Science"
"1802","Digital Sky Technologies"
"1803","Digitalents Capital"
"1804","Digitech Venture Capital Fund"
"1805","Dignity Health"
"1806","Digvijay Singh"
"1807","Dilan Dane (Jayawardane)"
"1808","Dilan Jayawardane"
"1809","Dillon McDonald"
"1810","Dilyan Dimitrov"
"1811","Dimitris Vranopoulos"
"1812","Dimitris Vranopoulos"
"1813","Dimitry Foux"
"1814","Dinesh Tejwani"
"1815","Dingman Center Angels"
"1816","Dino Vendetti"
"1817","Dion DeLoof"
"1818","Dion Joannou"
"1819","Dirk Elmendorf"
"1820","Dirk Elmendorf"
"1821","Dirk Graber"
"1822","Dirk Herzbach"
"1823","Dirk Herzbach"
"1824","Discovery Communications"
"1825","Disney Accelerator"
"1826","Distilled"
"1827","Divergent Ventures"
"1828","Doen"
"1829","Dolby Family Ventures"
"1830","Dollard Carey"
"1831","Domenic Carosa"
"1832","DominateFund"
"1833","Dominic Collins"
"1834","Dominion Capital"
"1835","Don Dodge"
"1836","Don Douglas"
"1837","Don Hutchison"
"1838","Don Listwin"
"1839","Don McLagan"
"1840","Donna Dubinsky"
"1841","Doreen Huber"
"1842","Dorm Room Fund"
"1843","Double M Partners"
"1844","Doug Chertok"
"1845","Doug Chertok"
"1846","Doug Cobb"
"1847","Doug Derwin"
"1848","Doug Fieldhouse"
"1849","Doug Fieldhouse"
"1850","Doug Groh"
"1851","Doug Pepper"
"1852","Doug Scott"
"1853","Douglas Bergeron"
"1854","Douglas Feirstein"
"1855","Douglas Guen"
"1856","Dov Moran"
"1857","Downing Ventures"
"1858","Dr Darrin M Disley"
"1859","Dr. E. Bora Uygun"
"1860","Dragoneer Investment Group"
"1861","Dragos Nicolaescu"
"1862","Draper &amp; Associates"
"1863","Draper Associates"
"1864","Draper Athena"
"1865","Draper Esprit"
"1866","Draper Fisher Jurvetson (DFJ)"
"1867","Draper Nexus Ventures"
"1868","Draper Richards"
"1869","Draper Richards Kaplan Foundation"
"1870","DreamFunded"
"1871","DreamHost"
"1872","DreamIt Health"
"1873","DreamIt Ventures"
"1874","DreamTech Ventures"
"1875","Drew Conway"
"1876","Drew Houston"
"1877","Drew Houston"
"1878","Drew Volpe"
"1879","Drive Capital"
"1880","Dror Shimshowitz"
"1881","Drummond Road Capital"
"1882","Dublin Business Innovation Centre"
"1883","Duchossois Capital Partners"
"1884","Duke Angel Network"
"1885","Dundee Venture Capital"
"1886","Dustin Robertson"
"1887","Dustin Stitgen"
"1888","Dutch Postcode Lottery"
"1889","DvH Ventures"
"1890","Dwipal Desai"
"1891","Dylan Parker"
"1892","Dylan Taylor"
"1893","E-Merge"
"1894","EC1 Capital Ltd"
"1895","ECEG"
"1896","ECEG Partners"
"1897","EDF"
"1898","EF (Entrepreneur First)"
"1899","EM-MEDIA"
"1900","ENISA"
"1901","ENISA"
"1902","EPIC Ventures"
"1903","ESADE BAN"
"1904","ESADE BAN"
"1905","EVO Venture Partners"
"1906","Eagle Cliff Partners"
"1907","Eamon Leonard"
"1908","Earlybird"
"1909","Earlybird Venture Capital"
"1910","East Ventures"
"1911","East Ventures"
"1912","East Ventures pvt. ltd."
"1913","East West Bank"
"1914","East of England Development Agency"
"1915","Eastlabs"
"1916","Eastlink Capital"
"1917","Easton Capital"
"1918","EchoVC Partners"
"1919","Eclipse"
"1920","Ecosystem Ventures"
"1921","Ed Belove"
"1922","Ed Godin"
"1923","Ed Roberts"
"1924","Ed Roman"
"1925","EdTech Venture Fund"
"1926","Edastra Venture Capital"
"1927","Edastra Venture Capital"
"1928","Eddy Shalev"
"1929","Eden Ventures"
"1930","Edenred Capital Partners"
"1931","Edgar Bronfman, Jr"
"1932","Edge"
"1933","Edge Harris Ventures"
"1934","Edison Partners"
"1935","Edison Partners"
"1936","Edovate Capital"
"1937","Edovate Capital"
"1938","Eduardo Brennand Campos"
"1939","Eduardo Grinberg"
"1940","Eduardo Haber"
"1941","Eduardo Mangarelli"
"1942","Eduardo Mangarelli"
"1943","Eduardo Pontoriero"
"1944","Eduardo Saverin"
"1945","Eduardo del Giglio"
"1946","Edward &#34;Skip&#34;  Stritter"
"1947","Edward B. Roberts"
"1948","Edward Lando"
"1949","Edward Zimmerman"
"1950","Eesti Arengufond"
"1951","Eideard Venture Capital"
"1952","Eigenvalue"
"1953","Eight Roads Ventures"
"1954","Eileen Burbidge"
"1955","Eileen Rudden"
"1956","Eileen Rudden"
"1957","Eileses Capital"
"1958","Einar G Gudmundsson"
"1959","El Paso Advisors"
"1960","El Paso Advisors"
"1961","El Paso Corporation"
"1962","Elad Gil"
"1963","Elaia Partners"
"1964","Elaine Wherry"
"1965","Elderstreet Investments"
"1966","Elefund"
"1967","Element 8"
"1968","Elementum Ventures"
"1969","Elementum Ventures"
"1970","Elevar"
"1971","Elevar Equity"
"1972","Elevation Partners"
"1973","Elevation Partners"
"1974","Elevator Fund"
"1975","Eleven"
"1976","Eleven Accelerator Venture Fund"
"1977","Eleven Two Capital"
"1978","Eli Manning"
"1979","Elisabeth Bentel Carpenter"
"1980","Elizabeth Hart"
"1981","Elizabeth Iorns"
"1982","Elizabeth and Colin Callender"
"1983","Ellen King"
"1984","Ellen Levy"
"1985","Ellen Pao"
"1986","Elliot Loh"
"1987","Elliott Bisnow"
"1988","Ellis Capital"
"1989","Elmspring Accelerator"
"1990","Elon Musk"
"1991","Emaan Amidi"
"1992","Emagen Entertainment"
"1993","Emagen Investment Group, Inc."
"1994","Emagen Investment Group, Inc."
"1995","Emanuel Stehle"
"1996","Emanuel Stehle"
"1997","Emerald Stage2 Ventures"
"1998","Emerge Education"
"1999","Emergence Capital Partners"
"2000","Emerson Climate Technologies"
"2001","Emerson Collective"
"2002","Emil Capital Partners"
"2003","Emil Michael"
"2004","Emilios Markou"
"2005","Emilios Markou"
"2006","Eminem (Marshall Mathers)"
"2007","Eminence Capital"
"2008","Eminence Capital LLC"
"2009","Emma Wilson"
"2010","Emmett Shear"
"2011","Empire Angels"
"2012","Empower Group"
"2013","Endeavor Catalyst"
"2014","Endeavour Investment Partners"
"2015","Endurance Companies"
"2016","Endure Capital"
"2017","Endure Capital"
"2018","Eneko Knorr"
"2019","Energy Excelerator"
"2020","Energy Foundry"
"2021","Engineering Capital"
"2022","Eniac Ventures"
"2023","Ennovva"
"2024","Enrico Pandian"
"2025","Enspire Capital"
"2026","Enterprise Ireland"
"2027","Entree Capital"
"2028","Entree Capital"
"2029","Entrenext Ventures"
"2030","Entrepreneur First"
"2031","Entrepreneurs Roundtable Accelerator"
"2032","Envestnet | Yodlee Incubator"
"2033","Enzyme Venture Capital"
"2034","Eoghan McCabe"
"2035","Episode 1"
"2036","EquityZen"
"2037","Eran Egozy"
"2038","Eren Bali"
"2039","Eric Bur"
"2040","Eric Cantor"
"2041","Eric Chen"
"2042","Eric Chen"
"2043","Eric Cooper"
"2044","Eric Cressey"
"2045","Eric Di Benedetto"
"2046","Eric Doebele"
"2047","Eric Dunn"
"2048","Eric Evans"
"2049","Eric Franchi"
"2050","Eric Hahn"
"2051","Eric Hammond"
"2052","Eric Hautemont"
"2053","Eric Kagan"
"2054","Eric Kagan"
"2055","Eric Kim"
"2056","Eric Kwan"
"2057","Eric Lorenz"
"2058","Eric Marcoullier"
"2059","Eric Norlin"
"2060","Eric Ries"
"2061","Eric Schmidt"
"2062","Eric Stein"
"2063","Eric Urhane"
"2064","Eric Urhane"
"2065","Eric Wiesen"
"2066","Eric Witte"
"2067","Eric Witte"
"2068","Eric Wu"
"2069","Eric van der Maten"
"2070","Erick Miller"
"2071","Erik Blachford"
"2072","Erik Byrenius"
"2073","Erik Eccles"
"2074","Erik Jansen"
"2075","Erik Moore"
"2076","Erik Severinghaus"
"2077","Erik Swan"
"2078","Erik Swan"
"2079","Erik Torenberg"
"2080","Erik Voorhees"
"2081","Ernesto Rodriguez"
"2082","Errol Damelin"
"2083","Erwin van der Veen"
"2084","Escala.vc"
