"","x"
"1","5131731518619648"
"2","4903702712287232406"
"3","626236687856435201"
"4","6375505980817408100"
"5","4786775700537344101"
"6","496598618053017610"
"7","471662443521638410"
"8","564787209987686410"
"9","626374522752204810"
"10","5731399097122816122"
"11","498222786779545614"
"12","63839484269035521517"
"13","59491809671249921776"
"14","49403315355648001776"
"15","49603885840465921800"
"16","57035360336609281843"
"17","57369140154859522010"
"18","53994997740994562020"
"19","56402297592217602020"
"20","454527617807155223"
"21","46193221902008322500"
"22","47991473580277762"
"23","62420568003051522"
"24","5653007672803328313"
"25","5951731099762688313"
"26","5163230724882432316"
"27","56542177966161923311"
"28","656153566091673633"
"29","5635255146905600360"
"30","5656975983509504360"
"31","542792349856563237"
"32","57834847862784003"
"33","487948594184192034"
"34","54649856815267843"
"35","672647663216230435"
"36","6241278354259968408"
"37","563906869198848043"
"38","49327290743521284490"
"39","50911009434501124"
"40","52504525977681924"
"41","6230778065190912500"
"42","4891277640335360500"
"43","4918585663160320500"
"44","5092827553857536500"
"45","576677075327385662"
"46","5808721041031168645"
"47","54521971437731847"
"48","47157173288960007"
"49","461965075519897677"
"50","52055616205619207"
"51","56668909364838407"
"52","671110870230630488"
"53","56954984385740808"
"54","53519365051514888"
"55","49185536354549769"
"56","5770079476121600"
"57","6286484948647936"
"58","6597475842392064"
"59","6343725789741056"
"60","5884956609871872"
"61","6221701100601344"
"62","5139991697031168"
"63","5511407567110144"
"64","4976512503644160"
"65","5659678025449472"
"66","6454779920252928"
"67","5170104434163712"
"68","6137979676393472"
"69","4812896232013824"
"70","5778225418469376"
"71","4955193464586240"
"72","6023516549808128"
"73","5952347331100672"
"74","4770891854512128"
"75","5889733951488000"
"76","6503481154207744"
"77","4772572960915456"
"78","5729914112180224"
"79","6282592298991616"
"80","5266502253019136"
"81","5186703811674112"
"82","6487868276998144"
"83","6140324728537088"
"84","4773703179042816"
"85","5038532737368064"
"86","4963860154941440"
"87","5104363869569024"
"88","4917259260657664"
"89","5629534317576192"
"90","5765699427368960"
"91","4570069203943424"
"92","5711019661852672"
"93","5996304811425792"
"94","6417212143304704"
"95","5677184714801152"
"96","4868100239392768"
"97","4932346818068480"
"98","5703382002040832"
"99","4527088304390144"
"100","5698253676871680"
"101","4667515447803904"
"102","6202724697767936"
"103","4787641421660160"
"104","5220429165756416"
"105","5117232111681536"
"106","6256988820340736"
"107","6287245791199232"
"108","5413983615975424"
"109","4549210070319104"
"110","5498929613373440"
"111","5300212478246912"
"112","5156187079180288"
"113","5078612566867968"
"114","5720947747192832"
"115","5367773387554816"
"116","5833270973431808"
"117","6000854016458752"
"118","5317514758193152"
"119","6087473981554688"
"120","5450812285255680"
"121","5130359943462912"
"122","5034259249102848"
"123","6622849271857152"
"124","4566415977742336"
"125","5756069737398272"
"126","6520287596118016"
"127","5145574231769088"
"128","6291469459521536"
"129","5641177101500416"
"130","5315951255879680"
"131","5754906375880704"
"132","5641942293544960"
"133","5815085108822016"
"134","6196655271444480"
"135","5764609340342272"
"136","6028619205836800"
"137","4900814598438912"
"138","5070452590379008"
"139","5678142576394240"
"140","5705841810341888"
"141","4811410605342720"
"142","5725217229897728"
"143","6309228880855040"
"144","60393417091317764"
"145","4660448007815168"
"146","6252233121333248"
"147","6677657781534720"
"148","4808618511695872"
"149","5119755132338176"
"150","585556668553625639"
"151","5318414985854976"
"152","5753942759702528"
"153","6410319790342144"
"154","4787153204674560"
"155","5993280739213312"
"156","5107221415329792"
"157","5677736953643008"
"158","4717393637015552"
"159","4758649213812736"
"160","4939854420901888"
"161","5274049684963328"
"162","5072177095245824"
"163","4905109611872256"
"164","5112835134717952"
"165","5114447093825536"
"166","6203339712757760"
"167","5584241517658112"
"168","5174232786927616"
"169","6099376271261696"
"170","5812939936235520"
"171","5715158919806976"
"172","6182873354731520"
"173","5109604635639808"
"174","5193209177178112"
"175","6287502415495168"
"176","6172134330073088"
"177","5400929750745088"
"178","6342859246534656"
"179","5183638341681152"
"180","4922419911327744"
"181","5873188751802368"
"182","4808414987288576"
"183","6076139558666240"
"184","4808682047012864"
"185","5735061764702208"
"186","5374146049474560"
"187","5185274581614592"
"188","5531320109236224"
"189","5183521324793856"
"190","5264632436490240"
"191","5004368155770880"
"192","4719794146246656"
"193","4921196399296512"
"194","5106695130841088"
"195","5685212226781184"
"196","5076963387506688"
"197","5654305453375488"
"198","4530706935971840"
"199","5925032849047552"
"200","6224787139461120"
"201","5074213920571392"
"202","4812850715426816"
"203","6475113402728448"
"204","5000221901717504"
"205","5232733072654336"
"206","5746110752620544"
"207","5143380795326464"
"208","5496343669768192"
"209","6158961921228800"
"210","4983641985777664"
"211","5645847542890496"
"212","6754778218496000"
"213","5006624653574144"
"214","5757394302795776"
"215","6687419805990912"
"216","5363615859212288"
"217","4833046603759616"
"218","6229650837602304"
"219","6591476398030848"
"220","6266922643488768"
"221","5202893506347008"
"222","4769366604251136"
"223","6097611039703040"
"224","5284839615889408"
"225","5758310355566592"
"226","5751734391537664"
"227","5061544102592512"
"228","5938992130293760"
"229","5174515193610240"
"230","5710037724954624"
"231","4947884621430784"
"232","4824146479415296"
"233","5845935317843968"
"234","5069440198639616"
"235","5549618448302080"
"236","5890118351060992"
"237","4690672871276544"
"238","6345205003321344"
"239","5380608482082816"
"240","5418005433417728"
"241","4731409830772736"
"242","6027257025921024"
"243","5734441712353280"
"244","5235975340949504"
"245","5752898038267904"
"246","5689234597871616"
"247","6222501843566592"
